"","Sector","V1","N"
"1","RURAL","[0,14]",0.306616200687469
"2","RURAL","(14,24]",0.187847510325308
"3","RURAL","(24,34]",0.152174512856944
"4","RURAL","(34,49]",0.187270390624544
"5","RURAL","(49,64]",0.116424528417674
"6","RURAL","(64,150]",0.0496668570880606
"7","URBAN","[0,14]",0.251209057069719
"8","URBAN","(14,24]",0.183286753222095
"9","URBAN","(24,34]",0.180767436515439
"10","URBAN","(34,49]",0.21027956572608
"11","URBAN","(49,64]",0.123902997419213
"12","URBAN","(64,150]",0.0505541900474541
