"","month","sector","cpi11","cpi18","subround","V6","deflator"
"1","Jul","RURAL",622.3333,884,1,2,0.703996945701358
"2","Aug","RURAL",622.3333,894,1,2,0.69612225950783
"3","Sept","RURAL",622.3333,893,1,2,0.696901791713326
"4","Oct","RURAL",622.3333,901,2,2,0.690713984461709
"5","Nov","RURAL",622.3333,905,2,2,0.687661104972376
"6","Dec","RURAL",622.3333,900,2,2,0.691481444444444
"7","Jan","RURAL",622.3333,895,3,2,0.695344469273743
"8","Feb","RURAL",622.3333,889,3,2,0.700037457817773
"9","Mar","RURAL",622.3333,887,3,2,0.701615896279594
"10","Apr","RURAL",622.3333,888,4,2,0.700825788288288
"11","May","RURAL",622.3333,891,4,2,0.698466105499439
"12","Jun","RURAL",622.3333,894,4,2,0.69612225950783
"13","Jul","URBAN",199.583333333333,285,1,2,0.700292397660819
"14","Aug","URBAN",199.583333333333,285,1,2,0.700292397660819
"15","Sept","URBAN",199.583333333333,285,1,2,0.700292397660819
"16","Oct","URBAN",199.583333333333,287,2,2,0.69541231126597
"17","Nov","URBAN",199.583333333333,288,2,2,0.692997685185185
"18","Dec","URBAN",199.583333333333,286,2,2,0.697843822843823
"19","Jan","URBAN",199.583333333333,288,3,2,0.692997685185185
"20","Feb","URBAN",199.583333333333,287,3,2,0.69541231126597
"21","Mar","URBAN",199.583333333333,287,3,2,0.69541231126597
"22","Apr","URBAN",199.583333333333,288,4,2,0.692997685185185
"23","May","URBAN",199.583333333333,289,4,2,0.690599769319493
"24","Jun","URBAN",199.583333333333,291,4,2,0.685853379152348
